Metric,Detector,Best,Top-10 Mean,Param Tolerance (%),Total Configs
F3-Weighted,adwin,0.2367,0.2288,89.3%,495
F3-Weighted,page_hinkley,0.2295,0.2290,6.3%,384
F3-Weighted,kswin,0.2409,0.2365,74.0%,1280
F3-Weighted,hddm_a,0.2229,0.2225,68.7%,640
F3-Weighted,hddm_w,0.0204,0.0204,0.0%,2560
F3-Weighted,floss,0.3604,0.3523,38.7%,25920
F1-Weighted,adwin,0.0884,0.0824,41.0%,495
F1-Weighted,page_hinkley,0.0711,0.0694,89.4%,384
F1-Weighted,kswin,0.0783,0.0743,92.2%,1280
F1-Weighted,hddm_a,0.0682,0.0681,68.7%,640
F1-Weighted,hddm_w,0.0075,0.0075,2.9%,2560
F1-Weighted,floss,0.2583,0.2497,52.1%,25920
NAB Standard,adwin,-1.8779,-2.0596,21.7%,495
NAB Standard,page_hinkley,-2.4641,-2.4896,0.4%,384
NAB Standard,kswin,-2.2784,-2.3741,68.3%,1280
NAB Standard,hddm_a,-2.8088,-2.8110,81.6%,640
NAB Standard,hddm_w,-2.8529,-2.8529,100.0%,2560
NAB Standard,floss,-1.1043,-1.1685,26.5%,25920
NAB Low FP,adwin,-3.1494,-3.5324,0.0%,495
NAB Low FP,page_hinkley,-5.1397,-5.1594,6.0%,384
NAB Low FP,kswin,-2.8529,-2.8529,58.7%,1280
NAB Low FP,hddm_a,-5.0587,-5.0609,3.2%,640
NAB Low FP,hddm_w,-2.8529,-2.8529,100.0%,2560
NAB Low FP,floss,-1.7147,-1.7484,57.6%,25920
NAB Low FN,adwin,-1.0829,-1.1147,0.9%,495
NAB Low FN,page_hinkley,-1.0051,-1.0338,6.0%,384
NAB Low FN,kswin,-0.8889,-0.9365,0.3%,1280
NAB Low FN,hddm_a,-1.1061,-1.1179,3.2%,640
NAB Low FN,hddm_w,-5.5735,-5.5735,100.0%,2560
NAB Low FN,floss,-1.1648,-1.4457,0.0%,25920
Recall@10s,adwin,0.9967,0.9964,60.0%,495
Recall@10s,page_hinkley,1.0000,1.0000,84.4%,384
Recall@10s,kswin,1.0000,1.0000,88.9%,1280
Recall@10s,hddm_a,1.0000,1.0000,76.0%,640
Recall@10s,hddm_w,0.0794,0.0794,0.3%,2560
Recall@10s,floss,0.8315,0.8189,34.2%,25920
Precision@10s,adwin,0.0792,0.0675,0.0%,495
Precision@10s,page_hinkley,0.0608,0.0608,0.4%,384
Precision@10s,kswin,0.0637,0.0619,83.0%,1280
Precision@10s,hddm_a,0.0562,0.0562,81.6%,640
Precision@10s,hddm_w,0.0100,0.0100,0.0%,2560
Precision@10s,floss,0.3549,0.3336,0.0%,25920
FP/min,adwin,1.5881,1.7494,0.0%,495
FP/min,page_hinkley,3.4294,3.4307,6.3%,384
FP/min,kswin,0.0000,0.0000,58.7%,1280
FP/min,hddm_a,2.8537,2.8537,3.2%,640
FP/min,hddm_w,0.0416,0.0416,5.5%,2560
FP/min,floss,0.1006,0.1006,46.6%,25920
EDD Median,adwin,1.8394,1.9862,0.9%,495
EDD Median,page_hinkley,1.0839,1.1287,4.3%,384
EDD Median,kswin,0.7958,0.8937,4.1%,1040
EDD Median,hddm_a,1.0221,1.0647,1.7%,640
EDD Median,hddm_w,0.7840,0.8016,0.0%,640
EDD Median,floss,0.0400,0.0400,1.8%,24000
