model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,False,1,500,22,525000.0,26.90909090909091,975.1363636363636,0.05657155143828889,0.055571960643293845,0.1901072873100765,0.18751540341922238,0.9926126863663399,0.9960748207016863,0.027896385227091612,0.03067681646330325,1.3409999999999973,2.589318181818178,25.553246753246754,-73.41939158231598,-156.5413947037904,-37.994753657942425,26.772727272727273,894.3636363636364,0.13636363636363635,26.217151515151514
model_2,0.0001,0.001,False,1,1000,22,525000.0,26.90909090909091,502.45454545454544,0.0898119436503235,0.07905453842641157,0.26739234795285705,0.24262061227105713,0.8998896322940887,0.971242793921531,0.04259399298564189,0.0510495692945363,2.6874545454545187,4.833299999999995,13.154545454545454,-37.29643539324539,-80.20839413709314,-24.24954693041242,24.136363636363637,460.40909090909093,2.772727272727273,20.707848484848515
model_3,0.0001,0.001,False,1,2000,22,525000.0,26.90909090909091,255.77272727272728,0.12479935421277834,0.08690132875380026,0.33244594558545976,0.2347791187655273,0.3686105840508493,0.8841019490654062,0.038716762880157705,0.07507350518659274,5.5111818181818055,8.211190909090892,6.709090909090909,-23.054074963245093,-44.99432803696282,-23.947584790022596,19.09090909090909,234.8181818181818,7.818181818181818,12.62803030303035
model_4,0.0001,0.001,False,1,3000,22,525000.0,26.90909090909091,171.9090909090909,0.12206296424569997,0.07811774033364464,0.2840450763188336,0.18395962409240532,0.2842410919247033,0.5949158406816296,0.039710761331652626,0.07898819969608105,5.368363636363598,8.138490909090901,4.522077922077922,-22.06284524975438,-36.786786815878855,-29.837238103055782,13.636363636363637,158.27272727272728,13.272727272727273,8.253575757575792
model_5,0.0001,0.001,False,1,5000,22,525000.0,26.90909090909091,104.04545454545455,0.11187132747807413,0.07624333159687337,0.21962444886791266,0.15218075918419538,0.20530062786596498,0.3846294125978258,0.04395688956037585,0.080931178388151,5.0616190476190335,7.739076190476166,2.7311688311688314,-23.61904069486983,-32.52402736630939,-38.84836554096824,8.454545454545455,95.5909090909091,18.454545454545453,5.428484848484865
model_6,0.0001,0.001,False,10,500,22,525000.0,26.90909090909091,940.5454545454545,0.057530776554144805,0.05666939007481622,0.19310311698695767,0.19087499376341863,0.986155624247504,0.9895813142081799,0.02843251588021624,0.031201637357293362,1.1705454545454161,2.457118181818184,24.61558441558441,-71.29064476921891,-151.60837360859432,-37.813598531349385,26.681818181818183,861.5454545454545,0.22727272727272727,26.20566666666667
model_7,0.0001,0.001,False,10,1000,22,525000.0,26.90909090909091,490.77272727272725,0.0895919152211885,0.07911630297438,0.2666965725241279,0.24243748572713042,0.8535017087772142,0.9586891297223722,0.042158097385076365,0.05089460042897052,2.5412727272727076,4.927609090909075,12.84935064935065,-36.97204117995877,-78.96341158661225,-24.885446885722935,23.772727272727273,449.72727272727275,3.1363636363636362,20.452606060606083
model_8,0.0001,0.001,False,10,2000,22,525000.0,26.90909090909091,251.8181818181818,0.12659799759794066,0.08775559676035917,0.337247714398487,0.24124080713245719,0.4514187306739348,0.8887989654074061,0.04001289627481886,0.07603382740403687,4.909636363636351,7.61950909090908,6.5870129870129865,-22.060830837478253,-43.62663216498695,-22.68702108281481,19.136363636363637,230.54545454545453,7.7727272727272725,12.481606060606099
model_9,0.0001,0.001,False,10,3000,22,525000.0,26.90909090909091,169.54545454545453,0.1287147928155729,0.08405109020459532,0.3054059293920295,0.20608402411712284,0.29772964182784645,0.6496161652659129,0.04112440134427957,0.08234361345186153,5.315181818181808,8.176281818181792,4.441558441558442,-21.30796401421132,-35.81703518099612,-28.82615570354619,14.090909090909092,155.45454545454547,12.818181818181818,8.57587878787882
model_10,0.0001,0.001,False,10,5000,22,525000.0,26.90909090909091,103.0909090909091,0.12203087487854694,0.0822542733547268,0.24761310930291264,0.17070012957868505,0.2064744416414748,0.4477339835069534,0.04513550045281673,0.08635572896064372,4.865818181818153,8.19231818181816,2.68961038961039,-22.92054976475617,-31.700539738125,-37.848736596253566,8.954545454545455,94.13636363636364,17.954545454545453,5.675969696969717
