model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,False,1,500,34,127232.0,2.8529411764705883,235.8235294117647,0.02531389900506334,0.02481785957021881,0.10821184318174829,0.10598228340923373,0.9514705882352942,1.0,0.011628925898913772,0.012952339866033197,1.430823529411768,2.1942470588235286,26.40498320807196,-18.24322453299128,-38.84275353730131,-8.090518854365678,2.8529411764705883,223.97058823529412,0.0,2.7982549019607843
model_2,0.0001,0.001,False,1,1000,34,127232.0,2.8529411764705883,122.97058823529412,0.04651505007681702,0.04496978443428824,0.18002728660956696,0.17415048334673638,0.9247549019607844,1.0,0.020538965360324627,0.02425030548582453,2.7418235294117657,3.4894352941176514,13.790232202035742,-8.611018086524314,-19.39612585772374,-3.453758318571662,2.8529411764705883,116.97058823529412,0.0,2.7538235294117643
model_3,0.0001,0.001,False,1,2000,34,127232.0,2.8529411764705883,62.8235294117647,0.0826861241448226,0.06660074011200469,0.2799389832172492,0.22299006272960864,0.34215686274509804,0.9901960784313725,0.018208694768229852,0.044470654800788594,4.752588235294122,5.901735294117652,7.028614702923423,-3.614907358626403,-9.093674781947646,-1.1402295293187226,2.764705882352941,59.61764705882353,0.08823529411764706,2.2030784313725484
model_4,0.0001,0.001,False,1,3000,34,127232.0,2.8529411764705883,42.23529411764706,0.09183655042690995,0.061352697243941455,0.2807676153972385,0.18685446116632418,0.3538398692810457,0.775,0.020829261937333057,0.05082810208598468,5.325200000000003,6.536333333333338,4.726197257071842,-2.981121529528143,-6.630362622363301,-1.9506186301693873,2.1470588235294117,40.088235294117645,0.7058823529411765,1.4016470588235292
model_5,0.0001,0.001,False,1,5000,34,127232.0,2.8529411764705883,25.88235294117647,0.08973141526016498,0.05821360319781804,0.2376503698578206,0.15726847649594014,0.225,0.49942810457516335,0.0215837104072398,0.05221719457013571,5.172222222222224,6.105962962962964,2.891891791928039,-3.0171999163431344,-5.285139406873734,-3.471465465195482,1.3529411764705883,24.529411764705884,1.5,0.8515686274509807
model_6,0.0001,0.001,False,10,500,34,127232.0,2.8529411764705883,233.3235294117647,0.0255680309783197,0.025058083274000956,0.10914348471028536,0.10685238238951435,0.9416666666666667,1.0,0.011630648926766666,0.013085633863049353,1.5515294117647054,2.3556058823529407,26.14145350041425,-18.0778822753728,-38.48372806072922,-8.051429970929886,2.8529411764705883,221.73529411764707,0.0,2.796960784313725
model_7,0.0001,0.001,False,10,1000,34,127232.0,2.8529411764705883,122.08823529411765,0.04697426385764828,0.04511094206344978,0.1814365610720172,0.1744945721529581,0.9149509803921569,1.0,0.02043557810964658,0.024499925332374637,2.344294117647061,3.268270588235296,13.654999852053498,-8.484272891966828,-19.15263393190438,-3.385386489645111,2.8529411764705883,115.82352941176471,0.0,2.7340784313725486
model_8,0.0001,0.001,False,10,2000,34,127232.0,2.8529411764705883,62.5,0.08319255136477277,0.06664804328162834,0.2810808966727864,0.2231305948816896,0.4232843137254902,0.9901960784313725,0.020641591071471756,0.04476718307039459,4.292411764705885,5.5915705882352995,6.983537252929341,-3.575103880778256,-9.005365571130927,-1.1246789179548617,2.764705882352941,59.23529411764706,0.08823529411764706,2.1902156862745086
model_9,0.0001,0.001,False,10,3000,34,127232.0,2.8529411764705883,42.14705882352941,0.0932042062236315,0.06431253747317775,0.2821054786283711,0.19553797968447761,0.3553921568627451,0.7586601307189542,0.021627255553384128,0.05170752362204096,5.063655172413796,6.316372413793105,4.712327272458278,-2.894974715156499,-6.531277561162828,-1.8415291745062756,2.176470588235294,39.970588235294116,0.6764705882352942,1.4625490196078432
model_10,0.0001,0.001,False,10,5000,34,127232.0,2.8529411764705883,25.852941176470587,0.08784307371665101,0.06079788314186456,0.23404163925220478,0.16619972712806821,0.23284313725490197,0.49697712418300655,0.021628959276018076,0.0510859728506787,4.706296296296298,5.657540740740744,2.891891791928039,-2.952102285563271,-5.2168062063506415,-3.407985619287232,1.3235294117647058,24.529411764705884,1.5294117647058822,0.887725490196078
model_11,0.0001,0.001,False,50,500,34,127232.0,2.8529411764705883,224.88235294117646,0.026707997958398753,0.02627131034603478,0.11302434749393064,0.11104552729469151,0.9475490196078432,1.0,0.012282119897049207,0.013691440409463535,1.2412941176470578,2.076782352941176,25.167087081311397,-17.29222602004255,-36.88911760520096,-7.699662580404526,2.8529411764705883,213.47058823529412,0.0,2.807313725490196
model_12,0.0001,0.001,False,50,1000,34,127232.0,2.8529411764705883,119.32352941176471,0.048090850103730085,0.04639967985818575,0.18473565144672804,0.178357815603273,0.9149509803921569,1.0,0.020932957412326342,0.025111833896318055,2.3811764705882337,3.2742352941176485,13.349860190555095,-8.23893936797019,-18.659985583985048,-3.263710377609818,2.8529411764705883,113.23529411764706,0.0,2.748470588235294
model_13,0.0001,0.001,False,50,2000,34,127232.0,2.8529411764705883,61.588235294117645,0.08359725794339427,0.06489620832242865,0.28200348419410776,0.21856789499533244,0.4937908496732026,0.9869281045751634,0.021616982039627346,0.04500248105972169,4.369058823529411,5.421170588235296,6.879512368327613,-3.513016198970949,-8.856189864643099,-1.106135248487815,2.735294117647059,58.35294117647059,0.11764705882352941,2.0861960784313727
model_14,0.0001,0.001,False,50,3000,34,127232.0,2.8529411764705883,41.64705882352941,0.08885218878324701,0.06325539546263749,0.2684523593697733,0.19171201812040173,0.27034313725490194,0.7123366013071896,0.01964438639891577,0.049302313246999234,5.043310344827588,6.337117241379315,4.667249822464196,-3.007967709683718,-6.602185750983607,-2.0932116302102437,2.0588235294117645,39.588235294117645,0.7941176470588235,1.4323137254901956
